"Estimator","Mean_SD","X95.CI","Bias","Relative_Bias","RMSE","MAE"
"Naive.OnlyRCT","15.868 (±2.501)","[15.378, 16.358]",-16.132,-50.412,16.323,16.132
"IPSW.without.X1","14.55 (±5.802)","[13.413, 15.687]",-17.45,-54.531,18.38,17.45
"IPSW.X1","31.774 (±2.898)","[31.206, 32.342]",-0.226,-0.706,2.892,2.406
"IPSW.X1.X2","31.689 (±2.8)","[31.14, 32.238]",-0.311,-0.972,2.804,2.346
"IPSW.X1.X2.X3","31.629 (±2.884)","[31.064, 32.194]",-0.371,-1.159,2.893,2.406
"G.formula","31.975 (±0.324)","[31.911, 32.039]",-0.025,-0.078,0.323,0.263
