"Estimator","Mean","SD","CI_lower","CI_upper"
"Naive.OnlyRCT",10.9448856373712,0.824720191035272,10.783,11.107
"G.formula",12.0846458045978,5.63739765935247,10.98,13.19
"IPSW",12.5570162237724,2.63357318222967,12.041,13.073
"IPSW.norm",11.5962246273822,0.958662170840202,11.408,11.784
