"Estimator","Mean_SD","X95.CI","Bias","Relative_Bias","RMSE","MAE"
"Naive.OnlyRCT","17.083 (±2.388)","[16.198, 17.968]",-14.917,-46.616,15.1,14.917
"IPSW","30.412 (±12.782)","[25.677, 35.147]",-1.588,-4.963,12.652,9.57
"IPSW.norm","32.268 (±8.524)","[29.111, 35.425]",0.268,0.838,8.375,6.608
"IPSW.strat.n.2","26.906 (±3.468)","[25.621, 28.191]",-5.094,-15.919,6.127,5.328
"IPSW.strat.n.3","30.922 (±3.456)","[29.642, 32.202]",-1.078,-3.369,3.561,2.95
"IPSW.strat.n.4","31.253 (±4.109)","[29.731, 32.775]",-0.747,-2.334,4.104,3.169
"IPSW.strat.n.5","32.246 (±4.797)","[30.469, 34.023]",0.246,0.769,4.717,3.741
"IPSW.strat.n.6","32.78 (±4.196)","[31.226, 34.334]",0.78,2.438,4.193,3.394
"IPSW.strat.n.7","32.014 (±3.869)","[30.581, 33.447]",0.014,0.044,3.799,2.914
"IPSW.strat.n.8","32.186 (±4.316)","[30.587, 33.785]",0.186,0.581,4.242,3.499
"IPSW.strat.n.9","31.938 (±4.786)","[30.165, 33.711]",-0.062,-0.194,4.7,3.866
"IPSW.strat.n.10","32.302 (±5.055)","[30.43, 34.174]",0.302,0.944,4.973,4.006
"G.formula","32.047 (±0.257)","[31.952, 32.142]",0.047,0.147,0.257,0.192
