"Estimator","Mean_SD","X95.CI","Bias","Relative_Bias","RMSE","MAE"
"Naive.OnlyRCT","15.694 (±3.057)","[15.095, 16.293]",-16.306,-50.956,16.587,16.306
"G.formula.wo.X1","15.318 (±2.141)","[14.898, 15.738]",-16.682,-52.131,16.817,16.682
"G.formula.X1","31.971 (±2.504)","[31.48, 32.462]",-0.029,-0.091,2.491,1.987
"G.formula.X1.X2","32.192 (±2.193)","[31.762, 32.622]",0.192,0.6,2.19,1.759
"G.formula.X1.X2.X3","31.986 (±1.684)","[31.656, 32.316]",-0.014,-0.044,1.676,1.329
"G.formula.X1.X2.X3.X4","31.964 (±0.334)","[31.899, 32.029]",-0.036,-0.113,0.334,0.264
