"Estimator","Mean_SD","X95.CI","Bias","Relative_Bias","RMSE","MAE"
"Naive.OnlyRCT","15.694 (±3.057)","[15.095, 16.293]",-16.306,-50.956,16.587,16.306
"IPSW.without.X1","15.637 (±6.193)","[14.423, 16.851]",-16.363,-51.134,17.485,16.438
"IPSW.X1","32.52 (±9.354)","[30.687, 34.353]",0.52,1.625,9.322,6.841
"IPSW.X1.X2","32.255 (±6.035)","[31.072, 33.438]",0.255,0.797,6.01,4.723
"IPSW.X1.X2.X3","31.494 (±3.948)","[30.72, 32.268]",-0.506,-1.581,3.961,3.244
"IPSW.X1.X2.X3.X4","31.902 (±3.223)","[31.27, 32.534]",-0.098,-0.306,3.208,2.587
"G.formula","31.964 (±0.334)","[31.899, 32.029]",-0.036,-0.113,0.334,0.264
